0.0,1.1,0.0
0.0,1.107,0.039
0.002,1.128,0.079
0.006,1.162,0.118
0.013,1.209,0.157
0.026,1.267,0.196
0.045,1.337,0.236
0.07,1.416,0.275
0.104,1.503,0.314
0.146,1.597,0.353
0.197,1.696,0.393
0.258,1.798,0.432
0.329,1.901,0.471
0.411,2.003,0.511
0.502,2.103,0.55
0.604,2.198,0.589
0.715,2.288,0.628
0.835,2.369,0.668
0.964,2.442,0.707
1.101,2.504,0.746
1.245,2.553,0.785
1.394,2.591,0.825
1.548,2.614,0.864
1.705,2.623,0.903
1.864,2.617,0.942
2.023,2.597,0.982
2.182,2.562,1.021
2.338,2.512,1.06
2.49,2.448,1.1
2.636,2.37,1.139
2.776,2.279,1.178
2.907,2.176,1.217
3.028,2.062,1.257
3.138,1.937,1.296
3.236,1.804,1.335
3.321,1.663,1.374
3.392,1.515,1.414
3.447,1.362,1.453
3.488,1.204,1.492
3.512,1.043,1.532
3.52,0.88,1.571
3.512,0.715,1.61
3.488,0.55,1.649
3.447,0.385,1.689
3.392,0.221,1.728
3.321,0.058,1.767
3.236,-0.103,1.806
3.138,-0.261,1.846
3.028,-0.418,1.885
2.907,-0.572,1.924
2.776,-0.723,1.963
2.636,-0.872,2.003
2.49,-1.018,2.042
2.338,-1.162,2.081
2.182,-1.304,2.121
2.023,-1.444,2.16
1.864,-1.582,2.199
1.705,-1.717,2.238
1.548,-1.851,2.278
1.394,-1.983,2.317
1.245,-2.113,2.356
1.101,-2.242,2.395
0.964,-2.368,2.435
0.835,-2.491,2.474
0.715,-2.612,2.513
0.604,-2.729,2.553
0.502,-2.843,2.592
0.411,-2.953,2.631
0.329,-3.058,2.67
0.258,-3.158,2.71
0.197,-3.252,2.749
0.146,-3.339,2.788
0.104,-3.419,2.827
0.07,-3.492,2.867
0.045,-3.556,2.906
0.026,-3.611,2.945
0.013,-3.657,2.985
0.006,-3.693,3.024
0.002,-3.719,3.063
0.0,-3.735,3.102
0.0,-3.74,3.142
-0.0,-3.735,3.181
-0.002,-3.719,3.22
-0.006,-3.693,3.259
-0.013,-3.657,3.299
-0.026,-3.611,3.338
-0.045,-3.556,3.377
-0.07,-3.492,3.416
-0.104,-3.419,3.456
-0.146,-3.339,3.495
-0.197,-3.252,3.534
-0.258,-3.158,3.574
-0.329,-3.058,3.613
-0.411,-2.953,3.652
-0.502,-2.843,3.691
-0.604,-2.729,3.731
-0.715,-2.612,3.77
-0.835,-2.491,3.809
-0.964,-2.368,3.848
-1.101,-2.242,3.888
-1.245,-2.113,3.927
-1.394,-1.983,3.966
-1.548,-1.851,4.006
-1.705,-1.717,4.045
-1.864,-1.582,4.084
-2.023,-1.444,4.123
-2.182,-1.304,4.163
-2.338,-1.162,4.202
-2.49,-1.018,4.241
-2.636,-0.872,4.28
-2.776,-0.723,4.32
-2.907,-0.572,4.359
-3.028,-0.418,4.398
-3.138,-0.261,4.437
-3.236,-0.103,4.477
-3.321,0.058,4.516
-3.392,0.221,4.555
-3.447,0.385,4.595
-3.488,0.55,4.634
-3.512,0.715,4.673
-3.52,0.88,4.712
-3.512,1.043,4.752
-3.488,1.204,4.791
-3.447,1.362,4.83
-3.392,1.515,4.869
-3.321,1.663,4.909
-3.236,1.804,4.948
-3.138,1.937,4.987
-3.028,2.062,5.027
-2.907,2.176,5.066
-2.776,2.279,5.105
-2.636,2.37,5.144
-2.49,2.448,5.184
-2.338,2.512,5.223
-2.182,2.562,5.262
-2.023,2.597,5.301
-1.864,2.617,5.341
-1.705,2.623,5.38
-1.548,2.614,5.419
-1.394,2.591,5.459
-1.245,2.553,5.498
-1.101,2.504,5.537
-0.964,2.442,5.576
-0.835,2.369,5.616
-0.715,2.288,5.655
-0.604,2.198,5.694
-0.502,2.103,5.733
-0.411,2.003,5.773
-0.329,1.901,5.812
-0.258,1.798,5.851
-0.197,1.696,5.89
-0.146,1.597,5.93
-0.104,1.503,5.969
-0.07,1.416,6.008
-0.045,1.337,6.048
-0.026,1.267,6.087
-0.013,1.209,6.126
-0.006,1.162,6.165
-0.002,1.128,6.205
-0.0,1.107,6.244
-0.0,1.1,6.283
